Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 0 2 44 0 0 0 0 20
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 0 2 43 0 0 0 0 21
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 43 0 0 0 0 21
DNK000001391 2015 10.844 54.869 a_stock 1 0 0 0 0 0 0 0 3 47 0 0 0 0 17
DNK000001391 2015 10.844 54.869 a_stock 1 0 0 0 0 0 0 1 3 47 0 0 0 0 16
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 43 0 0 0 0 21
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 43 0 0 0 0 20
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 43 0 0 0 0 20
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 43 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 19
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 19
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 19
DNK000001391 2015 10.756 54.772 a_stock 1 0 0 0 0 0 0 1 2 40 0 0 0 0 24
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 24
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 24
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 24
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 24
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 24
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 24
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 24
DNK000001391 2015 10.844 54.869 a_stock 1 0 0 0 0 0 0 1 3 42 0 0 0 0 21
DNK000001391 2015 10.844 54.869 a_stock 1 0 0 0 0 0 0 1 3 42 0 0 0 0 21
DNK000001391 2015 10.844 54.869 a_stock 1 0 0 0 0 0 0 1 3 42 0 0 0 0 21
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.869 a_stock 1 0 0 0 0 0 0 1 3 40 0 0 0 0 22
DNK000001391 2015 10.844 54.869 a_stock 1 0 0 0 0 0 0 1 3 40 0 0 0 0 22
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 25
DNK000001391 2015 10.756 54.772 a_stock 1 0 0 0 0 0 0 1 2 39 0 0 0 0 24
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 42 0 0 0 0 22
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 42 0 0 0 NA NA
