Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
SWE_2 2015 13.501 55.16 a_stock 1 0 0 0 6 0 0 16 13 34 2 1 1 52 0
SWE_2 2015 13.501 55.16 a_stock 1 0 0 0 6 0 0 16 13 34 2 1 1 52 0
SWE_2 2015 13.501 55.16 a_stock 1 0 0 0 6 0 0 16 13 34 2 1 1 52 0
SWE_2 2015 13.501 55.16 a_stock 1 0 0 0 6 0 0 16 13 34 2 1 1 52 0
SWE_2 2015 13.501 55.16 a_stock 1 0 0 0 6 0 0 16 13 34 2 1 1 52 0
SWE_2 2015 13.501 55.16 a_stock 1 0 0 0 6 0 0 16 13 34 2 1 1 52 0
SWE_1 2015 13.425 55.203 a_stock 1 0 0 0 47 0 1 54 8 21 1 1 1 75 0
SWE_2 2015 13.501 55.16 a_stock 1 0 0 0 6 0 0 16 13 34 2 1 1 51 0
SWE_1 2015 13.425 55.203 a_stock 1 0 0 0 45 0 1 53 8 21 1 1 1 75 0
SWE_1 2015 13.425 55.203 a_stock 1 0 0 0 44 0 1 51 8 21 1 1 1 75 0
SWE_1 2015 13.439 55.166 a_stock 1 0 0 0 10 0 0 41 4 10 1 1 0 91 0
SWE_1 2015 13.439 55.166 a_stock 1 0 0 0 10 0 0 41 4 10 1 1 0 91 0
SWE_2 2015 13.439 55.166 a_stock 1 0 0 0 10 0 0 40 4 10 1 1 0 88 0
SWE_2 2015 13.439 55.166 a_stock 1 0 0 0 10 0 0 40 4 10 1 1 0 88 0
SWE_1 2015 13.439 55.166 a_stock 1 0 0 0 10 0 0 41 4 10 1 1 0 91 0
SWE_2 2015 13.439 55.166 a_stock 1 0 0 0 10 0 0 40 4 10 1 1 0 88 0
SWE_1 2015 13.439 55.166 a_stock 1 0 0 0 10 0 0 41 4 10 1 1 0 91 0
SWE_2 2015 13.486 55.196 a_stock 1 0 0 0 181 1 1 25 7 18 1 1 1 77 0
SWE_1 2015 13.486 55.196 a_stock 1 0 0 0 187 1 1 26 7 18 1 1 1 79 0
SWE_1 2015 13.486 55.196 a_stock 1 0 0 0 71 1 3 65 11 28 2 1 1 64 0
SWE_2 2015 13.501 55.16 a_stock 1 0 0 0 66 0 1 47 5 12 1 1 0 85 0
SWE_1 2015 13.486 55.196 a_stock 1 0 0 0 69 1 3 64 11 28 2 1 1 64 0
SWE_1 2015 13.486 55.196 a_stock 1 0 0 0 67 1 3 62 11 28 2 1 1 64 0
