Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
BITS 2014 12.4683 56.1218 COD.2224 1 0 0 4.4 17.6 24.2 28.8 21.7 3.1 0 0 0 0 0 0
BITS 2014 10.9808 56.0356 COD.2224 1 0 0 41.8 30.8 15.4 9.6 0 0 0 0 0 0 0 0
BITS 2014 10.689 55.7855 COD.2224 1 0 0 2.2 17.6 6.6 2.4 0 0 0 0 0 0 0 0
BITS 2014 10.4621 55.7056 COD.2224 1 0 0 2.2 0 4.4 0 0 0 0 0 0 0 0 0
BITS 2014 10.241 55.6653 COD.2224 1 0 0 6.6 4.4 2.2 0 3.1 0 0 0 0 0 0 0
BITS 2014 10.5269 55.6512 COD.2224 1 0 0 2.2 0 2.2 2.4 0 0 0 0 0 0 0 0
BITS 2014 10.8397 55.3939 COD.2224 1 0 0 2.2 0 0 2.4 0 0 0 0 0 0 0 0
BITS 2014 11.2939 55.1354 COD.2224 1 0 0 19.8 13.2 2.2 0 0 0 0 0 0 0 0 0
BITS 2014 10.9922 55.2206 COD.2224 1 0 0 24.2 24.2 17.6 19.2 21.7 0 0 0 0 0 0 0
BITS 2014 10.4253 54.7803 COD.2224 1 0 0 28.6 6.6 2.2 4.8 6.2 6.2 0 0 0 0 0 6.2
BITS 2014 10.6435 54.6025 COD.2224 1 0 0 33 13.2 4.4 2.4 0 0 0 0 0 0 0 3.1
BITS 2014 10.7301 54.6849 COD.2224 1 0 0 121 37.4 4.4 4.8 6.2 0 3.1 0 0 0 0 0
