Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 0 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.8 54.803 a_stock 1 0 0 0 0 0 0 1 2 44 0 0 0 0 20
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 0 2 43 0 0 0 0 21
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 43 0 0 0 0 21
DNK000001391 2015 10.844 54.834 a_stock 1 0 0 0 0 0 0 1 2 43 0 0 0 0 21
DNK000001391 2015 10.888 54.9 a_stock 1 0 0 0 0 0 0 1 0 66 0 0 0 0 0
DNK000001391 2015 10.888 54.9 a_stock 1 0 0 0 0 0 0 1 0 66 0 0 0 0 0
DNK000001391 2015 10.888 54.9 a_stock 1 0 0 0 0 0 0 1 0 66 0 0 0 0 0
DNK000001391 2015 10.888 54.9 a_stock 1 0 0 0 0 0 0 1 0 66 0 0 0 0 0
