Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
BITS 2014 15.585 54.4567 COD.2532 1 0 0 2 8 138 354 242 202 68 8 0 0 0 0
BITS 2014 14.5665 55.6007 COD.2532 1 0 0 2 70 1389 2683 1431 476 238 28 0 2 0 0
BITS 2014 19.0512 57.2992 COD.2532 1 0 0 2 263 755 627 255 76 21 9 3 0 0 0
BITS 2014 14.6408 55.4928 COD.2532 1 0 0 6 25 1657 4143 3807 1294 567 281 28 6 0 0
BITS 2014 16.6622 55.7665 COD.2532 1 0 0 2 98 176 122 84 60 26 6 2 0 0 0
BITS 2014 15.4042 55.965 COD.2532 1 0 0 2 36 24 36 16 14 4 2 0 0 0 0
BITS 2014 15.5893 55.774 COD.2532 1 0 0 4 619 1531 337 275 109 8 0 0 0 0 0
BITS 2014 20.7866 55.5066 COD.2532 1 0 0 35.2 92.4 268.4 196.8 365.8 130.2 43.4 6.2 0 0 0 0
BITS 2014 20.0866 55.8416 COD.2532 1 0 0 4.4 8.8 193.6 494.4 254.2 62 31 6.2 0 0 0 0
