Survey Year ShootLon ShootLat Stock StockId nb_indiv.0 nb_indiv.1 nb_indiv.2 nb_indiv.3 nb_indiv.4 nb_indiv.5 nb_indiv.6 nb_indiv.7 nb_indiv.8 nb_indiv.9 nb_indiv.10 nb_indiv.11 nb_indiv.12 nb_indiv.13
SWE_1 2015 12.011 57.029 a_stock 0 0 0 0 0 0 1 14 12 26 16 15 12 10 16
SWE_1 2015 12.011 57.029 a_stock 0 0 0 0 0 0 1 14 12 26 16 15 12 10 16
SWE_1 2015 12.011 57.029 a_stock 0 0 0 0 0 0 1 14 12 26 16 15 12 10 16
SWE_1 2015 12.011 57.029 a_stock 0 0 0 0 0 0 1 14 12 26 16 15 12 10 16
SWE_1 2015 12.011 57.029 a_stock 0 0 0 0 0 0 1 14 12 26 16 15 12 10 16
SWE_1 2015 12.029 56.992 a_stock 0 0 0 0 0 0 1 14 12 26 17 15 12 10 16
SWE_1 2015 12.093 56.986 a_stock 0 0 0 0 0 0 1 15 13 28 16 14 11 10 15
SWE_1 2015 12.093 56.986 a_stock 0 0 0 0 0 0 1 15 13 28 16 14 11 10 15
SWE_1 2015 12.093 56.986 a_stock 0 0 0 0 0 0 1 15 13 28 16 14 11 10 15
SWE_1 2015 12.093 56.986 a_stock 0 0 0 0 0 0 1 15 13 28 16 14 11 10 15
SWE_1 2015 12.093 56.986 a_stock 0 0 0 0 0 0 1 15 13 28 16 14 11 10 15
SWE_1 2015 12.093 56.986 a_stock 0 0 0 0 0 0 1 15 13 28 16 14 11 10 15
SWE_1 2015 12.093 56.986 a_stock 0 0 0 0 0 0 1 15 13 28 16 14 11 10 15
SWE_1 2015 12.093 56.986 a_stock 0 0 0 0 0 0 1 15 13 28 16 14 11 10 15
DNK000001403 2015 11.538 56.586 a_stock 0 0 0 0 0 0 0 0 0 3 17 22 18 15 24
SWE_1 2015 11.787 56.946 a_stock 0 0 0 0 0 0 1 14 11 25 17 15 12 10 16
DNK000001403 2015 11.538 56.586 a_stock 0 0 0 0 0 0 0 0 0 3 17 23 18 15 24
SWE_1 2015 11.787 56.946 a_stock 0 0 0 0 0 0 1 14 11 25 17 15 12 10 16
SWE_2 2015 14.982 55.65 a_stock 0 0 0 0 0 1 4 8 9 19 18 17 13 11 17
DNK000001403 2015 11.491 56.556 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
SWE_1 2015 11.787 56.946 a_stock 0 0 0 0 0 0 1 14 11 25 17 15 12 10 16
SWE_1 2015 11.787 56.946 a_stock 0 0 0 0 0 0 1 14 11 25 17 15 12 10 16
SWE_2 2015 14.994 55.613 a_stock 0 0 0 0 0 0 4 8 8 18 18 18 14 11 17
DNK000001403 2015 11.491 56.521 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
SWE_2 2015 14.994 55.613 a_stock 0 0 0 0 0 0 4 8 8 18 18 18 14 11 17
SWE_1 2015 11.787 56.946 a_stock 0 0 0 0 0 0 1 14 11 25 17 15 12 10 16
SWE_1 2015 11.787 56.946 a_stock 0 0 0 0 0 0 1 14 11 25 17 15 12 10 16
DNK000001403 2015 11.491 56.521 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
SWE_2 2015 14.994 55.613 a_stock 0 0 0 0 0 0 4 8 8 18 18 18 14 11 17
SWE_2 2015 14.994 55.613 a_stock 0 0 0 0 0 0 4 8 8 18 18 18 14 11 17
DNK000001403 2015 11.491 56.521 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
SWE_1 2015 11.787 56.946 a_stock 0 0 0 0 0 0 1 14 11 25 17 15 12 10 16
DNK000001403 2015 11.491 56.521 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
SWE_1 2015 11.787 56.946 a_stock 0 0 0 0 0 0 1 14 11 25 17 15 12 10 16
DNK000001403 2015 11.491 56.521 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
SWE_2 2015 14.945 55.584 a_stock 0 0 0 0 0 0 5 7 7 15 19 19 14 11 18
SWE_2 2015 14.945 55.584 a_stock 0 0 0 0 0 0 5 7 7 15 19 19 14 11 18
SWE_1 2015 11.739 56.916 a_stock 0 0 0 0 0 0 1 14 12 25 17 16 12 10 16
DNK000001403 2015 11.508 56.484 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
DNK000001403 2015 11.508 56.484 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
SWE_2 2015 14.883 55.592 a_stock 0 0 0 0 0 0 5 7 7 15 19 19 15 12 18
SWE_1 2015 11.804 56.909 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
DNK000001403 2015 11.508 56.484 a_stock 0 0 0 0 0 0 0 0 0 2 17 23 18 15 25
SWE_1 2015 11.804 56.909 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
SWE_2 2015 14.821 55.6 a_stock 0 0 0 0 0 0 4 7 7 15 19 19 15 11 18
SWE_1 2015 11.804 56.909 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
DNK000001403 2015 11.526 56.448 a_stock 0 0 0 0 0 0 0 0 0 1 17 23 18 15 25
SWE_2 2015 14.821 55.6 a_stock 0 0 0 0 0 0 4 7 7 15 19 19 15 11 18
DNK000001403 2015 11.526 56.448 a_stock 0 0 0 0 0 0 0 0 0 1 17 23 18 15 25
SWE_2 2015 14.821 55.6 a_stock 0 0 0 0 0 0 4 7 7 15 19 19 15 11 18
SWE_1 2015 11.756 56.879 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
SWE_2 2015 14.821 55.6 a_stock 0 0 0 0 0 0 4 7 7 15 19 19 15 11 18
SWE_1 2015 11.756 56.879 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
DNK000001403 2015 11.543 56.411 a_stock 0 0 0 0 0 0 0 0 0 1 17 23 18 15 25
SWE_2 2015 14.821 55.6 a_stock 0 0 0 0 0 0 4 7 7 15 19 19 15 11 18
SWE_1 2015 11.756 56.879 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
SWE_1 2015 11.756 56.879 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
DNK000001403 2015 11.543 56.411 a_stock 0 0 0 0 0 0 0 0 0 1 17 23 18 15 25
SWE_1 2015 11.756 56.879 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
SWE_1 2015 11.756 56.879 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
SWE_2 2015 14.772 55.536 a_stock 0 0 0 0 0 0 5 7 7 16 18 18 14 11 18
SWE_1 2015 11.756 56.879 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
DNK000001403 2015 11.479 56.417 a_stock 0 0 0 0 0 0 0 0 0 1 16 23 19 16 25
SWE_1 2015 11.756 56.879 a_stock 0 0 0 0 0 0 1 14 12 25 17 15 12 10 16
DNK000001403 2015 11.479 56.417 a_stock 0 0 0 0 0 0 0 0 0 1 16 23 19 16 25
