pt_graph shape
9910 1
9910 1
10083 1
10083 1
5127 1
5127 1
5214 1
5214 1
5215 1
5215 1
5302 1
5302 1
5392 1
5392 1
5301 1
5301 1
5393 1
5393 1
5394 1
5394 1
5395 1
5395 1
5396 1
5396 1
5487 1
5487 1
5390 1
5390 1
5481 1
5481 1
5483 1
5483 1
5484 1
5484 1
5569 1
5569 1
5485 1
5485 1
5570 1
5570 1
5486 1
5486 1
5571 1
5571 1
5572 1
5572 1
5568 1
5568 1
5644 1
5644 1
5645 1
5645 1
5646 1
5646 1
5647 1
5647 1
5648 1
5648 1
5649 1
5649 1
5728 1
5728 1
5729 1
5729 1
5724 1
5724 1
5725 1
5725 1
5726 1
5726 1
5801 1
5801 1
5727 1
5727 1
5802 1
5802 1
5803 1
5803 1
5804 1
5804 1
5798 1
5798 1
5873 1
5873 1
5799 1
5799 1
5800 1
5800 1
5874 1
5874 1
5875 1
5875 1
5876 1
5876 1
5877 1
5877 1
5878 1
5878 1
5951 1
5951 1
5879 1
5879 1
5952 1
5952 1
5880 1
5880 1
5953 1
5953 1
5947 1
5947 1
5948 1
5948 1
10071 1
10071 1
6032 1
6032 1
6033 1
6033 1
6034 1
6034 1
6109 1
6109 1
6110 1
6110 1
6111 1
6111 1
6112 1
6112 1
6190 1
6190 1
6113 1
6113 1
6192 1
6192 1
6187 1
6187 1
6188 1
6188 1
6262 1
6262 1
6189 1
6189 1
6263 1
6263 1
6264 1
6264 1
6341 1
6341 1
