vids pt_graph
DNK000001391 935
DNK000001391 1010
DNK000001391 1080
DNK000001391 1152
DNK000001391 1235
DNK000001391 1234
DNK000001391 1317
DNK000001391 1318
DNK000001391 1319
DNK000001391 1404
DNK000001391 1405
DNK000001391 1499
DNK000001391 1500
DNK000001391 1592
DNK000001391 1593
DNK000001403 5127
DNK000001403 5214
DNK000001403 5215
DNK000001403 5302
DNK000001403 5392
DNK000001403 5301
DNK000001403 5393
DNK000001403 5394
DNK000001403 5395
DNK000001403 5396
DNK000001403 5487
DNK000001403 5390
DNK000001403 5481
DNK000001403 5483
DNK000001403 5484
DNK000001403 5569
DNK000001403 5485
DNK000001403 5570
DNK000001403 5486
DNK000001403 5571
DNK000001403 5572
DNK000001403 5568
DNK000001403 5644
DNK000001403 5645
DNK000001403 5646
DNK000001403 5647
DNK000001403 5648
DNK000001403 5649
DNK000001403 5728
DNK000001403 5729
DNK000001403 5724
DNK000001403 5725
DNK000001403 5726
DNK000001403 5801
DNK000001403 5727
DNK000001403 5802
DNK000001403 5803
DNK000001403 5804
DNK000001403 5798
DNK000001403 5873
DNK000001403 5799
DNK000001403 5800
DNK000001403 5874
DNK000001403 5875
DNK000001403 5876
DNK000001403 5877
DNK000001403 5878
DNK000001403 5951
DNK000001403 5879
DNK000001403 5952
DNK000001403 5880
DNK000001403 5953
DNK000001403 5947
DNK000001403 5948
DNK000001403 6032
DNK000001403 6033
DNK000001403 6034
DNK000001403 6109
DNK000001403 6110
DNK000001403 6111
DNK000001403 6112
DNK000001403 6190
DNK000001403 6113
DNK000001403 6192
DNK000001403 6187
DNK000001403 6188
DNK000001403 6262
DNK000001403 6189
DNK000001403 6263
DNK000001403 6264
DNK000001403 6341
SWE_1 1816
SWE_1 1898
SWE_1 1901
SWE_1 1896
SWE_1 1984
SWE_1 2080
SWE_1 2081
SWE_1 1888
SWE_1 1976
SWE_1 1889
SWE_1 1977
SWE_1 1978
SWE_1 2078
SWE_1 2167
SWE_1 2168
SWE_1 2169
SWE_1 2170
SWE_1 2171
SWE_1 2256
SWE_1 2172
SWE_1 2257
SWE_1 2069
SWE_1 2158
SWE_1 2070
SWE_1 2159
SWE_1 2160
SWE_1 2161
SWE_1 2164
SWE_1 2249
SWE_1 2251
SWE_1 2253
SWE_1 2254
SWE_1 2341
SWE_1 2255
SWE_1 2342
SWE_1 2343
SWE_1 2243
SWE_1 2244
SWE_1 2245
SWE_1 2247
SWE_1 2334
SWE_1 2248
SWE_1 2335
SWE_1 2336
SWE_1 2338
SWE_1 2424
SWE_1 2339
SWE_1 2340
SWE_1 2425
SWE_1 2426
SWE_1 2427
SWE_1 2429
SWE_1 2513
SWE_1 2514
SWE_1 2430
SWE_1 2331
SWE_1 2421
SWE_1 2422
SWE_1 2506
SWE_1 2508
SWE_1 2509
SWE_1 2510
SWE_1 2511
SWE_1 2596
SWE_1 2512
SWE_1 2597
SWE_1 2598
SWE_1 2599
SWE_1 2600
SWE_1 2601
SWE_1 2687
SWE_1 2689
SWE_1 2691
SWE_1 2780
SWE_1 2693
SWE_1 2781
SWE_1 2504
SWE_1 2589
SWE_1 2591
SWE_1 2592
SWE_1 2593
SWE_1 2594
SWE_1 2680
SWE_1 2681
SWE_1 2595
SWE_1 2682
